property_id	property_name	source	snapshot	as_of_date	year	month	status	level	metric	value
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Feb	Prospect	My Hotel	BKGS	1
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Mar	Prospect	My Hotel	RN	800
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Mar	Prospect	My Hotel	ADR	368
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Mar	Prospect	My Hotel	REV	774050
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Mar	Prospect	My Hotel	BKGS	8
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Apr	Prospect	My Hotel	RN	5125
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Apr	Prospect	My Hotel	ADR	1191
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Apr	Prospect	My Hotel	REV	6107185
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Apr	Prospect	My Hotel	BKGS	28
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	May	Prospect	My Hotel	RN	2231
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	May	Prospect	My Hotel	ADR	1014
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	May	Prospect	My Hotel	REV	2263388
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	May	Prospect	My Hotel	BKGS	15
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Jun	Prospect	My Hotel	RN	1059
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Jun	Prospect	My Hotel	ADR	723
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Jun	Prospect	My Hotel	REV	766267
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Jun	Prospect	My Hotel	BKGS	5
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Jul	Prospect	My Hotel	RN	1210
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Jul	Prospect	My Hotel	ADR	750
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Jul	Prospect	My Hotel	REV	907500
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Jul	Prospect	My Hotel	BKGS	5
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Aug	Prospect	My Hotel	RN	363
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Aug	Prospect	My Hotel	ADR	896
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Aug	Prospect	My Hotel	REV	325230
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Aug	Prospect	My Hotel	BKGS	2
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Sep	Prospect	My Hotel	RN	1089
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Sep	Prospect	My Hotel	ADR	637
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Sep	Prospect	My Hotel	REV	693907
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Sep	Prospect	My Hotel	BKGS	7
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Feb	2026-02-02	2026	Oct	Prospect	My Hotel	RN	1075
